Id,Label
Apai2026QuantumHermiteHada,"Quantum Hermite–Hadamard type inequalities for co-ordinated
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si3.svg"" display=""inline"" id=""d1e121"">
<mml:mrow>
<mml:mo>(</mml:mo>
<mml:mi>F</mml:mi>
<mml:mo>,</mml:mo>
<mml:mi>G</mml:mi>
<mml:mo>)</mml:mo>
</mml:mrow>
</mml:math>
-convex functions"
Tian2025Actionrecognitiont,Action recognition technology for professional basketball game training based on SSD and 3D convolution
Zhu2025Theapplicationofa,The application of artificial intelligence in the revitalization of intangible cultural heritage helps the cultural industry succeed
Peng2025Constructionprogres,Construction progress optimization scheduling model based on integration of A* algorithm and genetic algorithm
Gao2025Loadforecastingmet,Load forecasting method based on Transformer multi-model fusion
Li2025Optimizationofstud,Optimization of student behavior recognition based on YOLO and DeepSort in intelligent classroom environment
Li2025Methodologyfordist,Methodology for distribution network planning considering uncertainty in wind and solar power output
Gajarsk2020FirstOrderInterpre,First-Order Interpretations of Bounded Expansion Classes
Gao2025Designandresearch,Design and research of benchmark fixed speed computer control system for Carbon Fiber Putting Machine based on deep learning algorithm
Yang2025Designandcategory,Design and category analysis of course review classification model based on voting and BiLSTM algorithm
Tang2023BeyondChainmailCo,Beyond Chainmail: Computational Modeling of Discrete Interlocking Materials
Zhou2025ApplicationofNSGA,Application of NSGA-II algorithm in parameter optimization of project cost model based on sensitivity analysis
Yaar2018Anewperspectiveon,A new perspective on computational thinking
Djuki2026Interpolationofmm,"Interpolation of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si11.svg"" display=""inline"" id=""d1e1616""><mml:mi>α</mml:mi></mml:math>-harmonic functions on a circle"
Lee2026Fastautoregressive,"Fast autoregressive model for multivariate dependent outcomes with application to lipidomics analysis for Alzheimer’s disease and APOE-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si18.svg""><mml:mrow><mml:mi>ε</mml:mi></mml:mrow></mml:math>4"
Wang2025Designofautonomous,Design of autonomous driving system based on IoT and visual cognitive technology
Zhang2026Observerbasedrobus,"Observer-based robust
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si8.svg"" display=""inline"" id=""d1e289"">
<mml:msub>
<mml:mrow>
<mml:mi>H</mml:mi>
</mml:mrow>
<mml:mrow>
<mml:mi>∞</mml:mi>
</mml:mrow>
</mml:msub>
</mml:math>
control for two-dimensional continuous-discrete fractional-order Roesser systems: The
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si9.svg"" display=""inline"" id=""d1e299"">
<mml:mrow>
<mml:mn>0</mml:mn>
<mml:mo linebreak=""goodbreak"" linebreakstyle=""after"">&lt;</mml:mo>
<mml:mi>ɛ</mml:mi>
<mml:mo linebreak=""goodbreak"" linebreakstyle=""after"">≤</mml:mo>
<mml:mn>1</mml:mn>
</mml:mrow>
</mml:math>
case"
Qian2025Developmentandeval,Development and evaluation of virtual reality international equipment manufacturing training platforms based on deep learning
Chen2025Optimizationoftenn,Optimization of tennis match decision planning based on reinforcement learning model
Wang2025Optimizingfeedback,Optimizing feedback mechanisms in higher education quality assessment through an AI-driven framework
Liu2025Designofnetworkac,Design of network access control model based on zero trust and dynamic authorization
Jiang2025Researchonstabilit,Research on stability and control strategies of fractional-order differential equations in nonlinear dynamic systems
Li2025Designofonlinetea,Design of online teaching system for preschool art based on virtual reality technology
Jones2021ComputationalDesign,Computational Design of Knit Templates
Liu2025Optimizinggridresi,Optimizing grid resilience: The role of advanced asset identification and automation technologies in digital grid systems
Hu2025Constructionandapp,Construction and application of English-Chinese interpretation corpus based on big data
Xiao2025Measurementandpred,Measurement and prediction method of customer requirement importance based on fuzzy DEA-LSSVM model
Shi2025Designandresearch,Design and research of online learning system based on improved differential evolution K-Means clustering algorithm
He2025Anomalydetectional,Anomaly detection algorithm for big data based on isolation forest algorithm
Guzdial2019Computationalthinki,Computational thinking should just be good thinking
Lin2025Sentimentanalysisa,Sentiment analysis and preference prediction of advertising images based on eye tracking
Liu2025Optimizationandcom,Optimization and computer simulation of human motion trajectory virtual experiment system based on virtual reality technology
Yang2025ImprovingaVOHEsys,Improving a VOHE system’s security based on elliptic curve and quaternion function
Liu2025Distributedsecurity,Distributed security resource allocation strategy based on deep reinforcement learning
Montes2020Computationaldesign,Computational design of skintight clothing
Denning2021Computationalthinki,Computational thinking for professionals
Guo2025TheapplicationofS,The application of SD model and 4M1E method in safety management of subway tunnels
Cao2025Innovationandentre,Innovation and entrepreneurship education guidance and optimization analysis based on deep learning optimization algorithm
Jiao2025Modelingandanalysi,Modeling and analysis of economic dynamic systems using an improved query scheduling algorithm
Demri2021TheEffectsofAddin,The Effects of Adding Reachability Predicates in Quantifier-Free Separation Logic
Winiewska2026Onthecognitiveme,"On the cognitive, metacognitive, and agentic effects of creativity training"
Lai2025Applicationofartif,Application of artificial intelligence in analysis and preservation of traditional Chinese painting techniques
Panetta2021Computationalinvers,Computational inverse design of surface-based inflatables
Cao2025Predictionandoptim,Prediction and optimization of the impact of digital contracts on Internet news communication based on deep reinforcement learning
Wang2025Imagefusionbaseds,Image fusion-based spectroscopic analysis method with enhanced precision
Manoudaki2025Digitalmorphogenesi,Digital morphogenesis and bioAffective data: A computational framework for multisensory design
Bai2025Characteristicsanal,Characteristics analysis and cultivation strategies of non-common language students’ foreign language digital narrative ability based on big data mining
Zhang2025Explorationandprac,Exploration and practice of online information teaching model based on big data and artificial intelligence decision-making
Priya2024ComputationalPolite,Computational Politeness in Natural Language Processing: A Survey
Huang2025Anenhanceddeeplea,An enhanced deep learning framework for ideological and political education data analysis
Sylemez2025ExaminingEngineerin,Examining Engineering Students’ Computational Thinking Skills with CART Analysis
Xu2025Assessmentandenhan,Assessment and enhancement of social influence of red culture based on Internet of Things big data
Lin2025Onlinelearningplat,Online learning platform based on AI adaptive learning and collaborative filtering algorithm
Echenim2020TheBernaysSchnfin,The Bernays-Schönfinkel-Ramsey Class of Separation Logic with Uninterpreted Predicates
Bai2025Artificialintellige,Artificial intelligence and deep learning in intellectual property protection
Yan2022AComputationalFram,A Computational Framework for Modeling Biobehavioral Rhythms from Mobile and Wearable Data Streams
Fan2025Astudyonthedrivi,A study on the driving effects of intelligent MICE tourism on regional economic development
